text,Kommentar,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
"Sehr schade, da sitzt man im ""LOC"", einem der schönsten Münchner Innenhöfen, und die Qualität vom Essen ist einfach nur enttäuschend - in keiner Relation, weder zum Ruf des Hauses noch zu den Preisen, ob Knödel, Schnitzel, Pommes, Bratwürste oder Bratkartoffeln.",,"Innenhöfen, amb, pos, schönsten","Essen, foodq, neg, enttäuschend","Knödel, foodp, neg, enttäuschend","Schnitzel, foodp, neg, enttäuschend","Pommes, foodp, neg, enttäuschend","Bratwürste, foodp, neg, enttäuschend","Bratkartoffeln, foodp, neg, enttäuschend",,,,,,,,,
Der Service ist gut… man fühlt sich gut betreut.,,"Service, serv, pos, gut",,,,,,,,,,,,,,,
Absolut überzogen sind die Weinpreise -für ein 0.2 Glas zwischen 6 und 12 !,,"NULL, drinks, neg, überzogen",,,,,,,,,,,,,,,
"Die Qualität der Speisen ist auch nicht so toll, die Ofenkartoffel hat wohl auch schon ein paar Tage gelegen.",,"Speisen, foodq, neg, nicht so toll","Ofenkartoffel, foodq, neg, paar Tage gelegen",,,,,,,,,,,,,,
"Super essen deliziös, gute Atmosphäre, freundliche Bedienung, gute Erreichbarkeit und Parkmöglichkeit",,"essen, foodq, pos, deliziös","Atmosphäre, amb, pos, gute","Bedienung, serv, pos, freundliche","Erreichbarkeit, amb, pos, gute","Parkmöglichkeit, loca, pos, gute",,,,,,,,,,,
"Als die Hauptspeisen kamen waren wir voll zufrieden, die Steaks waren auf den Punkt gebraten und die Beilagen schmackhaft und völlig ausreichend.",,"Steaks, foodq, pos, auf den Punkt gebraten","Beilagen, foodq, pos, schmackhaft","Beilagen, foods, pos, ausreichend","Hauptspeise, foodq, pos, zufrieden",,,,,,,,,,,,
Was für ein Geschmack.,,"NULL, foodq, pos, Geschmack",,,,,,,,,,,,,,,
Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut).,,"Rollo, foodq, neg, ungewürzt","Pfannen-Spezialität, foodq, neg, nach der Hälfte stehen",,,,,,,,,,,,,,
Über eine Stunde wurde nicht nachgefragt ob wir noch etwas wünschen... Erst auf Reklamation wurde sich um uns gekümmert.,,"NULL, serv, neg, Erst auf Reklamation",,,,,,,,,,,,,,,
"Das ""neue"" Thai & Turf hat leider nichts mehr mit unseren Erfahrungen an der alten Location zu tun.",,"Thai & Turf, restaurantg, neg, nichts mehr mit unseren Erfahrungen an der alten Location zu tun",,,,,,,,,,,,,,,
Das erste Bier kam ja noch recht zügig.,,"NULL, serv, pos, zügig",,,,,,,,,,,,,,,
"Es passte ins Bild, dass uns beim Verlassen, nachdem ich eine deutlich dreistellige Rechnung beglichen hatte, verwehrt wurde, noch ein Törtchen für zu Hause zu kaufen.",,"NULL, serv, neg, verwehrt",,,,,,,,,,,,,,,
alles in einem einfach für jeden und immer wieder gern zu empfehlen!!!!,empfehlen reicht,"NULL, restaurantg, pos, empfehlen",,,,,,,,,,,,,,,
Das LOC ist sehr zu empfehlen und war perfekt Medium Rare.,,"LOC, foodq, pos, empfehlen","LOC, foodq, pos, perfekt",,,,,,,,,,,,,,
Der Besuch bleibt in Erinnerung.,,"NULL, restaurantg, pos, in Erinnerung",,,,,,,,,,,,,,,
Wir kommen wieder!,,"NULL, restaurantg, pos, kommen wieder",,,,,,,,,,,,,,,
War ein sehr gemütlicher Abend.,,"NULL, amb, pos, gemütlicher Abend",,,,,,,,,,,,,,,
"Leider Mittelmäßig und teuer,z.B.Gratis-Ouzo wie bei Griechen üblich?",,"NULL, restaurantp, neg, teuer","NULL, restaurantg, neu, Mittelmäßig",,,,,,,,,,,,,,
Sehr schönes Ambiente und die Bedienungen haben sehr gute Laune und Spaß an ihrer Arbeit.,,"Ambiente, amb, pos, schönes","Bedienungen, serv, pos, gute Laune","Bedienungen, serv, pos, Spaß",,,,,,,,,,,,,
Völlig überzogene Preise.,"Korrekt wäre ""überzogene"".           Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, neg, überzogene",,,,,,,,,,,,,,,
"Positiv zu bewerten ist das Personal, welches uns am Eingang sogar ein kleines Bier brachte, weil noch kein Platz frei war.",,"Personal, serv, pos, Positiv zu bewerten",,,,,,,,,,,,,,,
Unterirdisch waren die Bratkartoffeln.,,"Bratkartoffeln, foodq, neg, Unterirdisch",,,,,,,,,,,,,,,
"Die Speisen, das Kaffe-Angebot sind sehr wertig.",,"Speisen, foodq, pos, wertig","Kaffe-Angebot, drinkq, pos, wertig",,,,,,,,,,,,,,
"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied: geradezu winzige Portionen und ungeschultes Personal, dafür aber gesalzene Preise [2021 ca.","Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","Portionen, foodq, neg, winzige Portionen","Personal, serv, neg, ungeschultes","NULL, restaurantp, neg, gesalzene",,,,,,,,,,,,,
Wir waren jetzt schon zum 4 Mal hier im Augustiner und es ist für uns immer eine Anlaufstelle in LOC.,,"Augustiner, restaurantg, pos, 4 Mal","Augustiner, restaurantg, pos, immer eine Anlaufstelle",,,,,,,,,,,,,,
"Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen: ""und man merkt die Absicht - und man ist verstimmt"" ....",,"Bestuhlung, amb, neg, eng",,,,,,,,,,,,,,,
Der Rotwein wurde zweimal viel zu warm serviert.,,"Rotwein, drinkq, neg, warm",,,,,,,,,,,,,,,
"Feine und gehobene Gerichte aus Süditalien, LOC vor allem.",,"Gerichte, foodq, pos, Feine","Gerichte, foodq, pos, gehobene",,,,,,,,,,,,,,
"Mit vier Personen von Tapas, Fleisch- und Fischgerichte alles probiert und alles war sehr lecker.",,"Tapas, foodq, pos, lecker","Fleisch- und Fischgerichte, foodq, pos, lecker",,,,,,,,,,,,,,
Schade.,,"NULL, restaurantg, neg, Schade",,,,,,,,,,,,,,,
"Eine normale Unterhaltung ist aufgrund der Lautstärke, bei vollen Lokal (Und ich glaube das Haus ist immer voll) kaum möglich.",,"Lautstärke, amb, neg, Lautstärke","Unterhaltung, amb, neg, kaum möglich",,,,,,,,,,,,,,
Sehr leckeres Essen und aufmerksames und stets freundliches Personal.,,"Essen, foodq, pos, lecker ","Personal, serv, pos, aufmerksames","Personal, serv, pos, freundliches",,,,,,,,,,,,,
Die Platte mit Sushi hervorragend!,,"Platte mit Sushi, foodq, pos, hervorragend",,,,,,,,,,,,,,,
Obst braun.,,"Obst, foodq, neg, braun",,,,,,,,,,,,,,,
Ich bin so enttäuschst.,,"NULL, restaurantg, neg, enttäuschst",,,,,,,,,,,,,,,
"Auch innen sind die Räumlichkeiten deutlich in die Jahre gekommen, alles wirkt klein, alt, dunkel und nicht wirklich einladend.",,"Räumlichkeiten, amb, neg, in die Jahre gekommen","Räumlichkeiten, amb, neg, klein","Räumlichkeiten, amb, neg, alt","Räumlichkeiten, amb, neg, dunkel","Räumlichkeiten, amb, neg, nicht wirklich einladend",,,,,,,,,,,
Nicht zu empfehlen!,,"NULL, restaurantg, neg, Nicht zu empfehlen",,,,,,,,,,,,,,,
"LOC, hochwertig eingerichtetes Restaurant in dem auch Montagabend dringt durch die LOC direkt am LOC was los ist.",,"Restaurant, amb, pos, hochwertig eingerichtetes",,,,,,,,,,,,,,,
Wir haben bei dem herrlichen Wetter draußen gesessen.,,"Wetter, amb, pos, herrlich",,,,,,,,,,,,,,,
"Wir waren angenehm davon überrascht, was uns geboten wurde.",,"NULL, restaurantg, pos, angenehm",,,,,,,,,,,,,,,
"Die Bedienung hatte wenig Lächeln übrig, war dann wohl bis dann schon ein anstrengender Abend für das Personal.",,"Bedienung, serv, neg, wenig Lächeln übrig",,,,,,,,,,,,,,,
Wir hatten einen super Abend hier in der RESTAURANT_NAME.,,"RESTAURANT_NAME, restaurantg, pos, super",,,,,,,,,,,,,,,
Sie hat sich trotz des Stresses sehr bemüht.,,"NULL, serv, pos, bemüht",,,,,,,,,,,,,,,
Das zunächst servierte Essen war falsch und es dauerte 1.5 h bis zur Nachlieferung.,,"NULL, serv, neg, falsch","NULL, serv, neg, 1.5 h",,,,,,,,,,,,,,
Sehr zu empfehlen sind die Fischgerichte und der selbstgemachte Sangria.,"empfehlen ohne ""zu""","Fischgerichte, foodq, pos, empfehlen","Sangria, foodq, pos, empfehlen",,,,,,,,,,,,,,
LOC wir kommen wieder.,,"NULL, restaurantg, pos, kommen wieder",,,,,,,,,,,,,,,
Für ( was wir zu diesem Zeitpunkt dachten) 60€ doch sehr überschaubar.,,"60€, restaurantp, pos, überschaubar",,,,,,,,,,,,,,,
Wurde sehr freundlich von Sophie bedient!,,"Sophie, serv, pos, freundlich",,,,,,,,,,,,,,,
"Der sehr forsche, eher unfreundliche Service rundet das Erlebnis nach unten ab.",,"Service, serv, neg, forsche","Service, serv, neg, unfreundliche","NULL, restaurantg, neg, nach unten ab",,,,,,,,,,,,,
"Ansonsten will ich zugute halten, dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind.","Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, pos, stabil",,,,,,,,,,,,,,,
Kann das Restaurant empfehlen!,,"Restaurant, restaurantg, pos, empfehlen",,,,,,,,,,,,,,,
Wir gehen da nicht mehr hin.,,"NULL, restaurantg, neg, nicht mehr hin",,,,,,,,,,,,,,,
Das konnte man gar nicht essen.,,"NULL, foodq, neg, konnte man gar nicht essen",,,,,,,,,,,,,,,
Viel zu teuer und dafür nichtmal sehr gut.,,"NULL, restaurantg, neg, nichtmal sehr gut","NULL, restaurantp, neg, teuer",,,,,,,,,,,,,,
Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen.,,"Menü, foodq, pos, hervorragendes","Location, amb, pos, netten",,,,,,,,,,,,,,
"Wir kamen für einen angenehmen Abend, wurden aber an der Tür in die Hölle geführt.",,"NULL, restaurantg, neg, in die Hölle",,,,,,,,,,,,,,,
Das Restaurant ist für Pastaliebhaber sehr zu empfehlen.,empfehlen reicht,"NULL, foodq, pos, empfehlen",,,,,,,,,,,,,,,
Empfehlenswert.,,"NULL, restaurantg, pos, Empfehlenswert",,,,,,,,,,,,,,,
Uns hat es allen bestens geschmeckt.,,"NULL, foodq, pos, geschmeckt",,,,,,,,,,,,,,,
Die Bedienung ist super nett und das Essen war wirklich wunderbar!,,"Bedienung, serv, pos, nett","Essen, foodq, pos, wunderbar",,,,,,,,,,,,,,
Damit war die Sauce in Summe ein wenig zu salzig und hat die Steinpilze komplett überdeckt.,,"Sauce, foodq, neg, salzig","Sauce, foodq, neg, hat die Steinpilze komplett überdeckt",,,,,,,,,,,,,,
Das Kartoffelgratin war ebenfalls von trockener Konsistenz.,,"Kartoffelgratin, foodq, neg, trockener Konsistenz",,,,,,,,,,,,,,,
"Die Speisekarte ist überschaubar, bietet keine besonderen Leckereien.",,"Speisekarte, foods, neg, überschaubar","Speisekarte, foods, neg, keine besonderen Leckereien",,,,,,,,,,,,,,
"An der LOC muss noch gefeilt werden, aber alles andere war sehr lecker.",,"NULL, foodq, pos, lecker","LOC, amb, neg, gefeilt werden",,,,,,,,,,,,,,
"Keine Tischdecken ,keine Dekoration und dann noch abgenutzte Tische.",,"Tischdecken, amb, neg, keine","Dekoration, amb, neg, keine","Tische, amb, neg, abgenutzte",,,,,,,,,,,,,
"Ich hatte am 10.07.2023 meinen Geburtstag in der RESTAURANT_NAME gefeiert, die Kellner waren sehr aufmerksam und das Essen ein Traum, ich kann es nur weiterempfehlen.",,"Kellner, serv, pos, aufmerksam","Essen, foodq, pos, ein Traum","NULL, restaurantg, pos, weiterempfehlen",,,,,,,,,,,,,
"Wir hatten zunächst eine Gans zu Weihnachten, die war spektakulär und braucht keinen Vergleich zu scheuen.",,"Gans, foodq, pos, spektakulär",,,,,,,,,,,,,,,
Aber eben nichts besonderes.,,"NULL, restaurantg, neu, nichts besonderes",,,,,,,,,,,,,,,
Einzig die Portionen beim Essen sind mittel.,,"Portionen beim Essen, foods, neu, mittel",,,,,,,,,,,,,,,
Freundliche Bedienung.,,"Bedienung, serv, pos, Freundliche",,,,,,,,,,,,,,,
"Das Ambiente ist einigermaßen geblieben, mal abgesehen von ein paar Bildern.",,"Ambiente, amb, neu, einigermaßen",,,,,,,,,,,,,,,
"Dafür, dass kein Gericht mehr als 15,00 Euro gekostet hat war es wirklich optimal.",,"Gericht, foodp, pos, optimal","Gericht, foodp, pos, mehr als 15,00 Euro",,,,,,,,,,,,,,
"Aus Spaß habe ich auch einmal in den großen Speisesaal geschaut, in welchem schon ein relativ hoher Lärmpegel herrscht.",,"Lärmpegel, amb, neg, hoher",,,,,,,,,,,,,,,
"Die Biere waren ansprechend, das Essen Brauhaus-typisch und gemäß des Namens eher Bayrisch als Sächsisch, wobei auch ein paar sächsische Spezialitäten auf der Karte zu finden sind.",,"Biere, drinkq, pos, ansprechend","Essen, foodq, pos, Brauhaus-typisch",,,,,,,,,,,,,,
Der Äppelwoi ist eine Katastrophe.,"""eine"" brauchts nicht","Äppelwoi, drinkq, neg, Katastrophe",,,,,,,,,,,,,,,
Das Essen verdient das Prädikat gut.,,"Essen, foodq, pos, gut",,,,,,,,,,,,,,,
Wir wurden bedient von dem netten Fräulein Susanna.,,"Susanna, serv, pos, netten",,,,,,,,,,,,,,,
"Der Kellner war unfreundlich, langsam und hat uns auch einmal angebrüllt weil wir mehr Alt wollten.",,"Kellner, serv, neg, unfreundlich","Kellner, serv, neg, langsam","Kellner, serv, neg, angebrüllt",,,,,,,,,,,,,
Keiner ist zuständig und der Gast wird ignoriert,,"NULL, serv, neg, Keiner ist zuständig","NULL, serv, neg, ignoriert",,,,,,,,,,,,,,
Kommen gerne wieder wenn es uns mal wieder nach LOC verschlägt,,"NULL, restaurantg, pos, gerne wieder",,,,,,,,,,,,,,,
"Die Bedienung ist ne Perle (danke, Desiree), das Essen war erstklassig, lecker und reichlich, war ein toller früher Silvesterabend.","ohne ""ne""","Bedienung, serv, pos, Perle","Essen, foodq, pos, erstklassig","Essen, foodq, pos, lecker","Essen, foods, pos, reichlich",,,,,,,,,,,,
"Auf meine weitere Beschwerde bei einer mir bekannten Kellnerin, dass mein vom Klo zurückgekehrte Bekannter, keinen Tisch, sondern allenfalls noch einen Spalt zwischen zwei Tischen zur Verfügung hätte, trat der Geschäftsführer in Erscheinung, der nach dem Hinweis, ich sei zu laut, als ""konstruktive Lösung"" allen Ernstes vorschlug, wir könnten uns ja einen neuen Platz suchen.",,"Geschäftsführer, serv, neg, allen Ernstes",,,,,,,,,,,,,,,
Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten.,,"Käsespätzle, foodq, neg, lieblos ","Bagel, foodq, pos, köstlich",,,,,,,,,,,,,,
"Das Essen war, wie nicht anders zu erwarten, wieder ein Gedicht.","""ein"" brauchts nicht","Essen, foodq, pos, Gedicht",,,,,,,,,,,,,,,
"Ein sehr freundlicher Service, Essen qualitativ ausgezeichnet!",,"Service, serv, pos, freundlich","Essen, foodq, pos, ausgezeichnet",,,,,,,,,,,,,,
Wurde aber sehr positiv überrascht.,,"NULL, restaurantg, pos, überrascht",,,,,,,,,,,,,,,
"Wir kommen immer wieder gern zu Euch, weil wir bei euch einen Tag Urlaub in LOC erleben.",,"NULL, restaurantg, pos, kommen immer wieder gern",,,,,,,,,,,,,,,
"Totaler Massenbetrieb, macht kein Spass zwischen LOC gesehen dabei zu sein.","""macht"" nicht annotieren","NULL, restaurantg, neg, Massenbetrieb","NULL, restaurantg, neg, kein Spass",,,,,,,,,,,,,,
Der LOC bekommt von uns eine sehr gute Bewertung.,,"LOC, restaurantg, pos, gute Bewertung",,,,,,,,,,,,,,,
"Tolles Ambiente, Blick in die offene Küche, für die wärmeren Jahreszeiten gibt es auch eine Möglichkeit draußen zu sitzen.",,"Ambiente, amb, pos, Tolles","Ambiente, amb, pos, Blick in die offene Küche",,,,,,,,,,,,,,
Nur der Beilagensalat ist in seinem Mayonnaise-Dressing ertrunken.,,"Beilagensalat, foodq, neg, in seinem Mayonnaise-Dressing ertrunken",,,,,,,,,,,,,,,
"Umfangreiche Speisekarte, für jeden was dabei, von Vorspeise bis Dessert.",,"Speisekarte, foods, pos, Umfangreich","Vorspeise, foods, pos, für jeden was dabei","Dessert, foods, pos, für jeden was dabei",,,,,,,,,,,,,
"Super Abend, ich komme regelmäßig zum Steak essen in die RESTAURANT_NAME.",,"RESTAURANT_NAME, restaurantg, pos, Super Abend",,,,,,,,,,,,,,,
Sehr gute Qualität.,,"NULL, restaurantg, pos, gute Qualität",,,,,,,,,,,,,,,
"Keinen Platz im Obergeschoss trotz mehrerer freier Tische zu bekommen, weil wir das winzige Schild übersehen haben, dass man platziert wird, hat uns nicht gefreut.",,"NULL, serv, neg, nicht gefreut",,,,,,,,,,,,,,,
"Caesars Salad nicht wirklich lecker, die Ravioli schwammen regelrecht in reiner, flüssiger Butter.",,"Caesars Salad, foodq, neg, nicht wirklich lecker","Ravioli, foods, neg, schwammen regelrecht in reiner, flüssiger Butter",,,,,,,,,,,,,,
Da lag der Patty lieblos darauf.,,"Patty, foods, neg, lieblos",,,,,,,,,,,,,,,
Portion direkt bestellt) mit leckeren Knödel.,,"Knödel, foodq, pos, leckeren",,,,,,,,,,,,,,,
Suppe lauwarm/ wurde aber aufgewärmt war dann gut und lecker.,,"Suppe, foodq, pos, gut","Suppe, foodq, pos, lecker",,,,,,,,,,,,,,
"Das Preisniveau der Hauptspeisen bewegt sich zumeist bei über 30 Euro, Und ein Pils muss ebensowenig 8 Euro kosten wie ein Grappa 10,00!",,"Pils, drinkp, neg, 8 Euro","Grappa, drinkp, neg, 10,00",,,,,,,,,,,,,,
Aber er schmeckte dann doch.,,"NULL, foodq, pos, schmeckte",,,,,,,,,,,,,,,
Das Essen war reichlich und von sehr guter Qualität!,,"Essen, foods, pos, reichlich","Essen, foodq, pos, guter",,,,,,,,,,,,,,
Insgesamt ein alteingesessenes Lokal das man empfehlen kann.,,"Lokal, restaurantg, pos, empfehlen",,,,,,,,,,,,,,,
"Wir wurden sehr, sehr freundlich von LUCA bedient.",,"LUCA, serv, pos, freundlich",,,,,,,,,,,,,,,
Das Essen und der Service war ausgesprochen gut.,,"Essen, foodq, pos, gut","Service, serv, pos, gut",,,,,,,,,,,,,,
Unsere Reservierung wurde verplant.,,"Reservierung, serv, neg, verplant",,,,,,,,,,,,,,,
Den Blattspinat habe ich leider auf dem Teller nicht finden können.,,"NULL, foods, neg, nicht finden können",,,,,,,,,,,,,,,
Darauf wurde er unter dem Kopfschütteln der Umstehenden verbal noch aggressiver.,,"NULL, serv, neg, verbal noch aggressiver",,,,,,,,,,,,,,,
Wir kommen gerne wieder.,,"NULL, restaurantg, pos, gerne wieder",,,,,,,,,,,,,,,
Service war nicht so schnell und man musste zu viel warten.,,"Service, serv, neg, nicht so schnell","Service, serv, neg, viel warten",,,,,,,,,,,,,,
"Lecker gegessen, beste Qualität!",,"NULL, foodq, pos, beste",,,,,,,,,,,,,,,
"Der Service war schnell und zuverlässig, obwohl das Restaurant komplett ausverkauft war.",,"Service, serv, pos, schnell","Service, serv, pos, zuverlässig",,,,,,,,,,,,,,
"Leider kamen die Gerichte zu unterschiedlichen Zeiten, was bei uns und auch an den anderen Tischen zu sehen war.",,"NULL, serv, neg, unterschiedlichen Zeiten",,,,,,,,,,,,,,,
Rubrik Touri-Schrott!,,"NULL, restaurantg, neg, Touri-Schrott",,,,,,,,,,,,,,,
Das Personal war sehr freundlich.,,"Personal, serv, pos, freundlich",,,,,,,,,,,,,,,
"Sehr nettes Ambiente, freundliches Servicepersonal und die Tapas waren ziemlich vielseitig und alle lecker!",,"Ambiente, amb, pos, nettes","Servicepersonal, serv, pos, freundlich","Tapas, foods, pos, vielseitig","Tapas, foodq, pos, lecker",,,,,,,,,,,,
Personal sehr nett und zuvorkommend.,,"Personal, serv, pos, nett","Personal, serv, pos, zuvorkommend",,,,,,,,,,,,,,
Muscheln als Vorspeise fantastisch.,,"Muscheln, foodq, pos, fantastisch",,,,,,,,,,,,,,,
"Wir hatten ein Mittagessen mit dem Kollegium geplant, Essen war im Voraus bestellt, wie mit dem Geschäftsführer vereinbart und vor Ort wusste man von nichts.",,"NULL, serv, neg, wusste man von nichts",,,,,,,,,,,,,,,
Es lohnt sich 100%.,,"NULL, restaurantg, pos, lohnt sich 100%",,,,,,,,,,,,,,,
Abwechslungsreich und köstlich zubereitet.,,"NULL, foods, pos, Abwechslungsreich","NULL, foodq, pos, köstlich",,,,,,,,,,,,,,
Hier stimmte Preis/Leistung.,,"NULL, restaurantp, pos, stimmt",,,,,,,,,,,,,,,
Ich war mit meiner Freundin da & wir hatten einen sehr schönen und kulinarisch ansprechenden Abend.,,"NULL, foodq, pos, kulinarisch ansprechenden","NULL, restaurantg, pos, schönen",,,,,,,,,,,,,,
Hauptspeise eine riesige Enttäuschung.,,"Hauptspeise, foodq, neg, Enttäuschung",,,,,,,,,,,,,,,
Ich habe in meinem Leben noch nie einen so schlechten Schweinebraten gegessen!!!!,,"Schweinebraten, foodq, neg, schlechten ",,,,,,,,,,,,,,,
"Schlechter und unfreundlicher LOC mehrere Tische im Außenbereich noch Teller und leere Gläser standen, hab ich mich für den einzigsten leeren Tisch entschieden.",,"LOC, serv, neg, Schlechter","LOC, serv, neg, unfreundlicher",,,,,,,,,,,,,,
Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert.,,"Speisen, foods, pos, geschmackvoll","NULL, serv, pos, zeitnah",,,,,,,,,,,,,,
Absolut schlechte Küche!,,"Küche, foodq, neg, schlechte",,,,,,,,,,,,,,,
"Diese ""Kantine""war wohl nichts für uns.",,"Kantine, foodq, neg, nichts für uns ",,,,,,,,,,,,,,,
Weine- alle besten Labels dabei.,,"Weine, drinks, pos, besten Labels",,,,,,,,,,,,,,,
Preise sind ok und Service auch.,"Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, neu,  ok","Service, serv, neu, ok",,,,,,,,,,,,,,
"Weder das Stammpersonal, das zigfach an uns vorbeiging, ein Augenkontakt wurde vermieden, Ansprache ignoriert.",,"Stammpersonal, serv, neg, ignoriert",,,,,,,,,,,,,,,
"Gut es war ziemlich voll und somit war alles etwas gestresst, aber unser Kellner war höflich und bemüht.",,"NULL, amb, neg, gestresst","Kellner, serv, pos, höflich","Kellner, serv, pos, bemüht","NULL, amb, neg, voll",,,,,,,,,,,,
